feature;shap_mean;category;rank
EXT_SOURCE_2;0.3318524283163696;Alternative Score;1
EXT_SOURCE_3;0.3042730464945907;Alternative Score;2
EXT_SOURCE_1;0.1591157751759401;Alternative Score;3
CREDIT_TERM;0.1461830253691015;Financial;4
CODE_GENDER_M;0.1257447414328691;Demographic;5
CREDIT_GOODS_RATIO;0.1221476396062812;Financial;6
INST_LATE_RATE;0.0961397837397213;Behavioral;7
PREV_AMT_ANNUITY_MEAN;0.0936346585949257;Financial;8
PREV_AMT_CREDIT_MAX;0.0913724181336851;Financial;9
AMT_ANNUITY;0.0785306592322371;Financial;10
PREV_DOWN_PAYMENT_MEAN;0.0764373255599831;Financial;11
NAME_EDUCATION_TYPE_Higher_education;0.0722492179757151;Demographic;12
FLAG_OWN_CAR;0.0698865719546041;Financial;13
BUREAU_ACTIVE_RATIO;0.0693951212957234;Behavioral;14
DAYS_BIRTH;0.0666425322763813;Demographic;15
NAME_FAMILY_STATUS_Married;0.0605649326872766;Demographic;16
DAYS_EMPLOYED;0.0523012762418888;Financial;17
INST_PAYMENT_DIFF_MEAN;0.0487361850175818;Behavioral;18
PREV_REFUSAL_RATE;0.0486288568308985;Behavioral;19
PREV_APPROVAL_RATE;0.0465183132834012;Financial;20
